ApiRequestVO(id=20, productVO=ProductVO(id=20, name=item20, price=20000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=41, productVO=ProductVO(id=41, name=item41, price=11000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=20, productVO=ProductVO(id=20, name=item20, price=20000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=19, productVO=ProductVO(id=19, name=item19, price=19000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=18, productVO=ProductVO(id=18, name=item18, price=18000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=17, productVO=ProductVO(id=17, name=item17, price=17000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=16, productVO=ProductVO(id=16, name=item16, price=16000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=15, productVO=ProductVO(id=15, name=item15, price=15000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=14, productVO=ProductVO(id=14, name=item14, price=14000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=13, productVO=ProductVO(id=13, name=item13, price=13000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=12, productVO=ProductVO(id=12, name=item12, price=12000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=11, productVO=ProductVO(id=11, name=item11, price=11000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=50, productVO=ProductVO(id=50, name=item50, price=20000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=49, productVO=ProductVO(id=49, name=item49, price=19000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=48, productVO=ProductVO(id=48, name=item48, price=18000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=47, productVO=ProductVO(id=47, name=item47, price=17000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=46, productVO=ProductVO(id=46, name=item46, price=16000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=45, productVO=ProductVO(id=45, name=item45, price=15000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=44, productVO=ProductVO(id=44, name=item44, price=14000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=43, productVO=ProductVO(id=43, name=item43, price=13000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=42, productVO=ProductVO(id=42, name=item42, price=12000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=41, productVO=ProductVO(id=41, name=item41, price=11000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=20, productVO=ProductVO(id=20, name=item20, price=20000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=19, productVO=ProductVO(id=19, name=item19, price=19000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=18, productVO=ProductVO(id=18, name=item18, price=18000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=17, productVO=ProductVO(id=17, name=item17, price=17000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=16, productVO=ProductVO(id=16, name=item16, price=16000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=15, productVO=ProductVO(id=15, name=item15, price=15000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=14, productVO=ProductVO(id=14, name=item14, price=14000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=13, productVO=ProductVO(id=13, name=item13, price=13000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=12, productVO=ProductVO(id=12, name=item12, price=12000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=11, productVO=ProductVO(id=11, name=item11, price=11000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=50, productVO=ProductVO(id=50, name=item50, price=20000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=49, productVO=ProductVO(id=49, name=item49, price=19000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=48, productVO=ProductVO(id=48, name=item48, price=18000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=47, productVO=ProductVO(id=47, name=item47, price=17000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=46, productVO=ProductVO(id=46, name=item46, price=16000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=45, productVO=ProductVO(id=45, name=item45, price=15000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=44, productVO=ProductVO(id=44, name=item44, price=14000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=43, productVO=ProductVO(id=43, name=item43, price=13000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=42, productVO=ProductVO(id=42, name=item42, price=12000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=41, productVO=ProductVO(id=41, name=item41, price=11000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=20, productVO=ProductVO(id=20, name=item20, price=20000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=19, productVO=ProductVO(id=19, name=item19, price=19000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=18, productVO=ProductVO(id=18, name=item18, price=18000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=17, productVO=ProductVO(id=17, name=item17, price=17000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=16, productVO=ProductVO(id=16, name=item16, price=16000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=15, productVO=ProductVO(id=15, name=item15, price=15000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=14, productVO=ProductVO(id=14, name=item14, price=14000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=13, productVO=ProductVO(id=13, name=item13, price=13000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=12, productVO=ProductVO(id=12, name=item12, price=12000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
ApiRequestVO(id=11, productVO=ProductVO(id=11, name=item11, price=11000, type=2), apiResponseVO=ApiResponseVO(status=200, message=product2 was successfully processed))
